symbol,train_pnl_pct,test_pnl_pct,trades,win_rate,max_drawdown,sharpe,min_price,max_price,grid_levels,sell_pct
GPSUSDC,20.5865,8.6696,34,1.0,0.142056,1.3338,0.00944,0.0119,5,5.0
1000CHEEMSUSDC,5.3653,6.1809,11,1.0,0.067291,0.734,0.000489,0.000536,5,5.0
AXSUSDC,12.008,5.9702,27,1.0,0.046957,1.461,1.279,1.501,5,5.0
TNSRUSDC,19.7203,5.7955,23,1.0,0.042879,1.9226,0.0418,0.0552,5,5.0
WLFIUSDC,12.7879,5.6539,41,1.0,0.063508,1.1337,0.1005,0.1075,10,5.0
SKLUSDC,14.4519,5.4635,13,1.0,0.091468,1.0749,0.00639,0.00684,5,5.0
NILUSDC,6.5803,5.0729,15,1.0,0.022909,1.1496,0.0453,0.0566,5,3.0
BEAMXUSDC,8.3037,4.5739,16,1.0,0.066823,0.9074,0.002296,0.002454,5,5.0
DYMUSDC,8.2697,4.33,18,1.0,0.051765,1.369,0.0383,0.0525,5,5.0
EDENUSDC,6.119,4.3246,18,1.0,0.066079,0.6781,0.0302,0.0338,10,5.0
FUNUSDC,13.0263,4.2097,22,1.0,0.03785,1.5563,0.001235,0.001299,5,5.0
SAGAUSDC,12.9094,4.1354,17,1.0,0.102095,0.9325,0.0305,0.0326,5,5.0
LPTUSDC,4.8051,4.0689,25,1.0,0.02085,1.1513,2.343,2.448,5,1.0
AVNTUSDC,7.0915,4.0563,15,1.0,0.101183,0.6912,0.1863,0.2016,5,5.0
GMTUSDC,9.3014,3.9862,17,1.0,0.067754,1.158,0.01191,0.01247,5,5.0
LINEAUSDC,7.7014,3.7864,24,1.0,0.063874,0.8469,0.00312,0.00357,5,2.0
ZKPUSDC,11.0985,3.6463,37,1.0,0.05055,1.2385,0.077,0.1156,5,2.0
LUNAUSDC,3.9415,3.5786,9,1.0,0.049608,0.6444,0.0587,0.0629,5,3.0
STOUSDC,5.9784,3.523,19,1.0,0.052178,1.0207,0.0521,0.0564,5,3.0
UMAUSDC,3.9081,3.5057,7,1.0,0.046895,0.6196,0.475,0.517,5,5.0
CYBERUSDC,8.6829,3.4932,11,1.0,0.07604,0.7563,0.513,0.586,5,5.0
CVCUSDC,13.4025,3.3765,22,1.0,0.046178,1.3472,0.03175,0.03401,5,5.0
PUMPUSDC,5.0846,3.3047,23,1.0,0.030746,1.1065,0.001885,0.002099,5,2.0
METUSDC,6.418,3.3025,17,1.0,0.059922,0.8211,0.2084,0.2148,5,3.0
